timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527858130150512179,-0.115628,-0.0534717,0.000649673,0.00022004,0.000659858,0.00138775,-0.00195321,0.0013641,-0.000427232,0,0,0
1527858130183845163,-0.110763,-0.0348642,0.000669639,-0.00109382,-0.00379811,0.003664,-0.00188042,0.00127295,-0.000361651,0,0,0
1527858130217202518,-0.101388,-0.0348061,0.000658912,0.00140407,0.00022228,0.00336753,-0.00187935,0.00126192,-0.000367298,0,0,0
1527858130250510994,-0.102026,-0.0333919,0.000657294,0.000715304,-0.00122797,0.00630167,-0.0018345,0.00123301,-0.000218348,0,0,0
1527858130283847992,-0.101636,-0.0321024,0.000655171,0.000777278,-0.000826714,0.00516843,-0.00182958,0.00119556,-0.000157025,0,0,0
1527858130317181250,-0.100262,-0.0315822,0.00064596,0.000328568,0.0015472,0.00293599,-0.00180958,0.00122526,-0.000133274,0,0,0
1527858130350510983,-0.0999353,-0.0318321,0.000646455,0.00174635,0.00173997,0.0039069,-0.00177498,0.0012749,-4.82552e-05,0,0,0
1527858130385948599,-0.101848,-0.0305472,0.00064182,0.000348562,-0.00138675,0.00265324,-0.00173645,0.00126546,2.24159e-06,0,0,0
1527858130417193617,-0.101189,-0.0291482,0.000663765,-0.00209002,-0.000271435,0.00371326,-0.00178992,0.00125099,9.0572e-05,0,0,0
1527858130450517259,-0.101294,-0.0290995,0.000694763,-0.00114035,-0.000766967,0.00231031,-0.00182921,0.00123509,0.000101332,0,0,0
1527858130483847923,-0.100089,-0.0300287,0.000678147,0.000845057,0.000337115,0.00250563,-0.00182452,0.00123856,0.000163803,0,0,0
1527858130517181127,-0.100416,-0.0297049,0.00067333,0.000825389,-0.000844057,-1.06371e-05,-0.00180888,0.00122178,0.000129339,0,0,0
1527858130550544068,-0.100629,-0.0280923,0.000694012,-0.00322432,-0.00093204,-0.000511465,-0.00188859,0.00115906,0.00011005,0,0,0
