timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527754609645109633,-0.0410653,0.0108205,0.000897408,-0.0455496,0.00396312,-1.16149,-0.00991694,0.00110721,-0.0326187,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754609706198606,-0.0410631,0.0108223,0.00103019,-0.0455218,0.00385332,-1.33327,-0.0103174,0.00114159,-0.0435894,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754609740901732,-0.0410636,0.010808,0.00119899,-0.0457961,0.00385097,-1.55199,-0.0108278,0.00118465,-0.0597151,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754609772932251,-0.0410455,0.0107883,0.00148616,-0.0460456,0.00361036,-1.94286,-0.011747,0.00125864,-0.0946631,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754609806262231,-0.0410134,0.0107847,0.00191366,-0.0463876,0.00302575,-2.49026,-0.0130398,0.00134876,-0.156726,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754609839613582,-0.040963,0.0107572,0.00341928,-0.0469359,0.000764703,-4.44779,-0.0177136,0.00153406,-0.504175,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754609874998095,-0.0409565,0.0107409,0.00371237,-0.0470849,0.000615136,-4.83881,-0.0186548,0.00154798,-0.597043,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754609915781796,-0.040961,0.0107383,0.0038715,-0.0468858,0.000609293,-5.07432,-0.0192206,0.00155535,-0.656735,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754609939590130,-0.0409668,0.010731,0.0039939,-0.0467637,0.0004098,-5.24084,-0.0196196,0.00155969,-0.700682,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754609972926659,-0.0409279,0.0107218,0.00447134,-0.0471002,2.84269e-05,-5.86752,-0.0211205,0.00156557,-0.878538,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610006266068,-0.0409015,0.0107066,0.00491316,-0.0478953,4.67464e-05,-6.41431,-0.0224509,0.00156308,-1.05035,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610039588365,-0.0409302,0.0107027,0.00536315,-0.0490247,-0.00130539,-7.04011,-0.0240005,0.00154974,-1.26563,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610072924208,-0.040924,0.0106986,0.00600395,-0.0493533,-0.00117802,-7.82693,-0.0259802,0.00148295,-1.56457,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610106223921,-0.0409031,0.0106886,0.00643227,-0.0495896,-0.0024578,-8.37447,-0.0273676,0.0014284,-1.79153,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610139588064,-0.0408774,0.0107082,0.00695202,-0.0500972,-0.00299823,-9.01515,-0.0290014,0.00133314,-2.07657,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610172933051,-0.0408761,0.0106928,0.00736977,-0.0501644,-0.00308049,-9.56499,-0.03041,0.00124813,-2.33767,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610206278751,-0.0407788,0.0106208,0.00900344,-0.0501228,-0.00551623,-11.6906,-0.0358294,0.000807745,-3.49364,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610252375323,-0.0407752,0.01059,0.00931252,-0.05045,-0.0051405,-12.0813,-0.0368352,0.00070165,-3.73137,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610296881772,-0.0407601,0.0105829,0.00964055,-0.0504345,-0.00512812,-12.4728,-0.0378462,0.000599969,-3.97704,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610313422054,-0.040747,0.0105955,0.00981541,-0.0507582,-0.005057,-12.7064,-0.0384511,0.000539083,-4.12756,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610339588263,-0.0407425,0.0105776,0.00992968,-0.0510224,-0.0051451,-12.8626,-0.0388584,0.000498259,-4.22987,-5.87247e-06,1.77229e-05,-2.03842e-05
1527754610373014078,-0.0407128,0.0105629,0.0105116,-0.0516025,-0.00530282,-13.6439,-0.0409104,0.000301068,-4.75965,-5.87247e-06,1.77229e-05,-2.03842e-05
