timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527864775988915525,-0.0710172,0.0194294,-3.24396e-05,0.00518714,0.0124989,-0.000208415,0.00095038,0.00258254,-0.000157324,0,0,0
1527864776022282635,-0.0710332,0.0194175,-2.22413e-05,0.0054657,0.0132543,-0.00030267,0.0010981,0.00294455,-0.000165437,0,0,0
1527864776055582784,-0.0710057,0.0194023,-1.42e-05,0.00589916,0.0139994,-0.000744721,0.00130135,0.00343318,-0.000182875,0,0,0
1527864776088917091,-0.0710039,0.0194071,-4.76707e-05,0.00705921,0.0150972,-0.000131573,0.00159059,0.00408337,-0.000208911,0,0,0
1527864776122258546,-0.0710361,0.0194242,-8.45019e-05,0.00728762,0.0153525,0.00188436,0.00173362,0.0043876,-0.000201369,0,0,0
1527864776155581431,-0.0709184,0.0194253,-0.000156206,0.00836466,0.0180227,-0.00268732,0.00200827,0.00506217,-0.000283794,0,0,0
1527864776188944929,-0.0710853,0.0195391,-0.000162715,0.00649574,0.0186489,0.000525661,0.00223557,0.0056195,-0.000288699,0,0,0
1527864776222249332,-0.0709284,0.0193579,-0.000180892,0.00794352,0.0195538,-0.00324547,0.00249392,0.00631891,-0.000366731,0,0,0
1527864776255721305,-0.0710091,0.0193427,-0.000204223,0.00668512,0.0200762,-0.00481195,0.00273991,0.00696683,-0.000493752,0,0,0
1527864776288917879,-0.0709587,0.0193097,-0.000207932,0.00837255,0.0202532,-0.00514131,0.00297565,0.00759898,-0.000659571,0,0,0
1527864776322873968,-0.0709879,0.0193232,-0.000243001,0.00841296,0.0213063,-0.00506168,0.00321363,0.00818133,-0.000812883,0,0,0
1527864776357028135,-0.0709482,0.0193389,-0.00025947,0.00893403,0.0217684,-0.00567868,0.00348369,0.00887335,-0.000996574,0,0,0
1527864776388938555,-0.0709631,0.019333,-0.000286129,0.00977443,0.0218886,-0.0055158,0.00387243,0.00976569,-0.00123144,0,0,0
1527864776422249835,-0.0709786,0.0193426,-0.000268211,0.00967397,0.0217259,-0.00536583,0.00413996,0.0103759,-0.00138482,0,0,0
1527864776455579787,-0.0709946,0.0193295,-0.000272869,0.0106489,0.022834,-0.00557247,0.0045129,0.0111824,-0.0015827,0,0,0
1527864776489700409,-0.0709976,0.0193092,-0.000298138,0.0105983,0.0233417,-0.00566003,0.00476487,0.011727,-0.00171733,0,0,0
1527864776522249075,-0.0709897,0.0193292,-0.00031949,0.0116091,0.0250961,-0.0053063,0.00521021,0.0126966,-0.00193738,0,0,0
1527864776555583221,-0.070981,0.0193154,-0.000336303,0.0115932,0.0260662,-0.00514526,0.0054986,0.0133323,-0.0020706,0,0,0
