timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527827080759333530,-0.0525435,0.00544971,0.00343138,-0.330005,0.413708,-0.521121,-0.0852794,0.10682,-0.134808,0,0,0
1527827080792666526,-0.052546,0.00541369,0.00333409,-0.329601,0.41426,-0.523097,-0.0958424,0.120076,-0.151519,0,0,0
1527827080825997371,-0.0525333,0.00543815,0.00321918,-0.329658,0.413078,-0.522876,-0.10504,0.131626,-0.166124,0,0,0
1527827080859337651,-0.0525582,0.00544576,0.00320924,-0.32931,0.412273,-0.52262,-0.118229,0.148135,-0.187029,0,0,0
1527827080892666493,-0.052581,0.00545753,0.00323825,-0.329259,0.413016,-0.522434,-0.128763,0.161341,-0.203752,0,0,0
1527827080926003315,-0.0525734,0.00543925,0.00330434,-0.328566,0.414511,-0.522516,-0.138243,0.17326,-0.218802,0,0,0
1527827080959339421,-0.0525736,0.00544175,0.00323299,-0.328398,0.415171,-0.522627,-0.148753,0.186542,-0.235535,0,0,0
1527827080992666869,-0.0525622,0.00544338,0.00327215,-0.328095,0.414949,-0.522604,-0.161891,0.203142,-0.256437,0,0,0
1527827081026000602,-0.0525796,0.00547087,0.00330712,-0.327986,0.415256,-0.522423,-0.171076,0.214767,-0.271069,0,0,0
1527827081059365939,-0.0525288,0.00551438,0.0033054,-0.326238,0.415271,-0.523538,-0.210302,0.264557,-0.333808,0,0,0
1527827081120852749,-0.0525189,0.00551798,0.0033128,-0.325754,0.415408,-0.523531,-0.216831,0.272877,-0.344293,0,0,0
1527827081163600923,-0.0525487,0.00550346,0.0033279,-0.325274,0.415526,-0.523579,-0.223593,0.281507,-0.355169,0,0,0
1527827081192666766,-0.0525406,0.00549215,0.00333284,-0.325179,0.415108,-0.523459,-0.226204,0.284842,-0.359373,0,0,0
1527827081226002528,-0.052561,0.00548575,0.00331401,-0.324589,0.415643,-0.523705,-0.23222,0.292533,-0.369068,0,0,0
1527827081259343764,-0.0525464,0.00552619,0.00333309,-0.323884,0.415848,-0.522435,-0.249078,0.314142,-0.396261,0,0,0
1527827081292664877,-0.0525753,0.00553871,0.00332528,-0.323463,0.416302,-0.522834,-0.258152,0.325801,-0.410912,0,0,0
1527827081326002256,-0.0526015,0.00554674,0.00333175,-0.322839,0.416814,-0.522914,-0.271276,0.342712,-0.432141,0,0,0
1527827081359381904,-0.0525825,0.00561139,0.00331805,-0.32159,0.419217,-0.522672,-0.303611,0.384702,-0.484619,0,0,0
1527827081402389664,-0.0525763,0.00564049,0.00331654,-0.321366,0.418856,-0.522923,-0.314132,0.398423,-0.501734,0,0,0
1527827081461490858,-0.0525705,0.00565189,0.00332902,-0.321288,0.418805,-0.523223,-0.317995,0.403458,-0.508022,0,0,0
1527827081492690407,-0.0525561,0.00566785,0.00331427,-0.321356,0.418815,-0.523147,-0.323141,0.410167,-0.516402,0,0,0
1527827081525999009,-0.0525315,0.0056993,0.00331481,-0.32102,0.418794,-0.523826,-0.333427,0.42358,-0.53317,0,0,0
1527827081560538994,-0.0524193,0.00584934,0.00336447,-0.320227,0.421389,-0.522886,-0.367953,0.468881,-0.589584,0,0,0
1527827081601769136,-0.0523943,0.0059214,0.0033901,-0.320845,0.421839,-0.524204,-0.374366,0.477313,-0.600059,0,0,0
1527827081659333728,-0.0523564,0.00610629,0.00344059,-0.320961,0.421177,-0.526435,-0.378223,0.48238,-0.606375,0,0,0
1527827081692666268,-0.0523022,0.0064403,0.00348444,-0.320812,0.422691,-0.525654,-0.387454,0.494533,-0.621502,0,0,0
1527827081726004406,-0.0522759,0.00645848,0.00350534,-0.320375,0.422901,-0.525647,-0.400336,0.51147,-0.64263,0,0,0
