timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527751597342711054,3.07,-0.0074552,0.672855,0.00346851,0.000139886,-0.785367,0.000806326,0.000253217,-0.0159577,6.12197e-06,2.67383e-05,4.86748e-06
1527751597376042940,3.07001,-0.00746205,0.67286,0.00341829,-9.33022e-05,-1.17779,0.000876198,0.000254667,-0.0355916,6.12197e-06,2.67383e-05,4.86748e-06
1527751597409351686,3.07001,-0.00750898,0.672868,0.00330768,-0.000202473,-1.97817,0.00100955,0.000245589,-0.100027,6.12197e-06,2.67383e-05,4.86748e-06
1527751597443590972,3.07001,-0.007488,0.67289,0.00351519,-0.00119714,-2.60546,0.00111409,0.000226962,-0.173368,6.12197e-06,2.67383e-05,4.86748e-06
1527751597476040646,3.07001,-0.00749009,0.672886,0.00416778,-0.00275208,-3.39016,0.0012677,0.000146728,-0.293277,6.12197e-06,2.67383e-05,4.86748e-06
1527751597509357262,3.07001,-0.00749189,0.67287,0.00417634,-0.00348576,-3.94009,0.00138666,6.0916e-05,-0.396017,6.12197e-06,2.67383e-05,4.86748e-06
1527751597542684591,3.07,-0.00750251,0.672904,0.00441247,-0.00427699,-4.56849,0.00152719,-6.15329e-05,-0.532252,6.12197e-06,2.67383e-05,4.86748e-06
1527751597576019380,3.07,-0.00750835,0.672911,0.00433209,-0.00501019,-5.11739,0.00165193,-0.000192715,-0.667741,6.12197e-06,2.67383e-05,4.86748e-06
1527751597609352088,3.07,-0.00751458,0.672945,0.00451431,-0.00579123,-5.90237,0.0018272,-0.000411126,-0.888332,6.12197e-06,2.67383e-05,4.86748e-06
1527751597642683920,3.07001,-0.00752237,0.672953,0.005026,-0.00673105,-6.52974,0.00197709,-0.00061371,-1.08724,6.12197e-06,2.67383e-05,4.86748e-06
1527751597676018075,3.07001,-0.00752758,0.672966,0.00520656,-0.00728386,-7.07872,0.00212266,-0.000809259,-1.27782,6.12197e-06,2.67383e-05,4.86748e-06
1527751597709351945,3.07001,-0.00752255,0.672955,0.00515794,-0.00752694,-7.85855,0.00232686,-0.00110646,-1.57472,6.12197e-06,2.67383e-05,4.86748e-06
1527751597742683211,3.07003,-0.00755761,0.672973,0.00490173,-0.00723696,-8.48583,0.00248893,-0.00134794,-1.83624,6.12197e-06,2.67383e-05,4.86748e-06
1527751597776020489,3.07003,-0.00757885,0.672988,0.00476768,-0.00778377,-9.03564,0.00262627,-0.0015566,-2.08186,6.12197e-06,2.67383e-05,4.86748e-06
1527751597809349658,3.07003,-0.0075644,0.673045,0.00523745,-0.00971867,-9.83207,0.00283086,-0.00191851,-2.46504,6.12197e-06,2.67383e-05,4.86748e-06
1527751597842706997,3.07006,-0.00754675,0.67307,0.00565878,-0.0109244,-10.4604,0.0030009,-0.00224808,-2.78993,6.12197e-06,2.67383e-05,4.86748e-06
1527751597876040590,3.07005,-0.00756407,0.673084,0.00598885,-0.0116631,-11.0086,0.00316228,-0.0025635,-3.0901,6.12197e-06,2.67383e-05,4.86748e-06
1527751597909349058,3.07006,-0.00760166,0.6731,0.00608383,-0.0122033,-11.7954,0.00340764,-0.00304319,-3.54754,6.12197e-06,2.67383e-05,4.86748e-06
1527751597942698351,3.07004,-0.00761492,0.67312,0.00584431,-0.0128535,-12.4224,0.00359524,-0.00344629,-3.93503,6.12197e-06,2.67383e-05,4.86748e-06
1527751597976019544,3.07004,-0.00760425,0.673141,0.00586923,-0.0133841,-12.972,0.00375744,-0.00381051,-4.29056,6.12197e-06,2.67383e-05,4.86748e-06
1527751598009353561,3.07002,-0.00761134,0.67317,0.00598541,-0.0142528,-13.771,0.00400742,-0.00437135,-4.83529,6.12197e-06,2.67383e-05,4.86748e-06
1527751598042686732,3.07001,-0.00763194,0.673186,0.00631392,-0.0146301,-14.3203,0.0041788,-0.0047726,-5.22879,6.12197e-06,2.67383e-05,4.86748e-06
1527751598076015954,3.07002,-0.00764202,0.673202,0.0061866,-0.0158231,-15.1049,0.0044296,-0.00538227,-5.81754,6.12197e-06,2.67383e-05,4.86748e-06
1527751598109354794,3.07001,-0.00764784,0.673181,0.00657528,-0.0165646,-15.735,0.00463866,-0.0059075,-6.31321,6.12197e-06,2.67383e-05,4.86748e-06
1527751598142686385,3.06998,-0.00765977,0.673195,0.00727916,-0.0172815,-16.2837,0.00483146,-0.00637884,-6.76132,6.12197e-06,2.67383e-05,4.86748e-06
1527751598176017720,3.07,-0.00769324,0.673201,0.00736191,-0.0181375,-17.0683,0.00512679,-0.00708464,-7.42836,6.12197e-06,2.67383e-05,4.86748e-06
1527751598209350362,3.07,-0.00768527,0.673223,0.00721058,-0.0183714,-17.6929,0.00535679,-0.00766662,-7.98212,6.12197e-06,2.67383e-05,4.86748e-06
1527751598243248479,3.07,-0.00769966,0.673235,0.00802546,-0.0192759,-18.243,0.00556972,-0.00819574,-8.4858,6.12197e-06,2.67383e-05,4.86748e-06
1527751598276253150,3.06999,-0.00770596,0.673261,0.00874916,-0.0196462,-19.0428,0.00592121,-0.00899906,-9.24583,6.12197e-06,2.67383e-05,4.86748e-06
1527751598309728486,3.07,-0.00770982,0.673291,0.00856869,-0.0202752,-19.6704,0.00620171,-0.00963698,-9.86532,6.12197e-06,2.67383e-05,4.86748e-06
