timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527827813645829981,-0.186099,0.0272647,-0.0880015,-0.0998121,0.0147969,0.0862332,-0.0216743,0.00643719,0.0172402,0,0,0
1527827813679178690,-0.102983,-0.387433,-0.115685,0.147819,0.0690241,0.0586458,-0.0206026,0.00785061,0.0189799,0,0,0
1527827813712483563,-0.140317,-0.387986,-0.146035,0.282552,0.0991677,0.0957665,-0.012868,0.0109221,0.0217485,0,0,0
1527827813745817217,-0.174076,-0.388351,-0.179442,0.415927,0.117096,0.127894,-0.00178467,0.0143265,0.0253899,0,0,0
1527827813779151624,-0.202202,-0.388413,-0.214506,0.523111,0.123776,0.15654,0.0112966,0.0177081,0.0293511,0,0,0
1527827813812483753,-0.242512,-0.388292,-0.248384,0.672822,0.133314,0.207888,0.0351443,0.0227866,0.0367301,0,0,0
1527827813845818836,-0.272729,-0.388722,-0.282174,0.796679,0.123726,0.241992,0.0586408,0.0269124,0.0438969,0,0,0
1527827813879152755,-0.296001,-0.389459,-0.31446,0.904504,0.113034,0.272516,0.0823853,0.0302602,0.0510204,0,0,0
1527827813912483893,-0.324057,-0.389681,-0.341999,1.04495,0.0865543,0.320785,0.121396,0.0341911,0.0629822,0,0,0
1527827813945839108,-0.338499,-0.389971,-0.367742,1.17033,0.0725823,0.352844,0.156807,0.0367193,0.0738066,0,0,0
1527827813979155003,-0.351724,-0.389744,-0.385734,1.28029,0.0650047,0.380103,0.191164,0.0386381,0.0841096,0,0,0
1527827814012483415,-0.371001,-0.389566,-0.401488,1.39791,0.0481942,0.415299,0.233979,0.0404443,0.0968163,0,0,0
1527827814045819220,-0.39426,-0.390866,-0.420532,1.56192,0.0271933,0.474802,0.299138,0.0421493,0.116354,0,0,0
1527827814079152386,-0.405252,-0.392149,-0.4401,1.65492,0.0158765,0.502271,0.33942,0.0427089,0.128598,0,0,0
1527827814112484326,-0.424338,-0.392946,-0.457669,1.81704,0.000935777,0.545298,0.408866,0.0430709,0.14953,0,0,0
1527827814145816333,-0.438399,-0.39307,-0.475204,1.94322,-0.0144976,0.583215,0.469067,0.0428612,0.16759,0,0,0
1527827814179150164,-0.447135,-0.393215,-0.492213,2.05543,-0.0324368,0.618154,0.525283,0.0422127,0.184481,0,0,0
