timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527750802763993898,-0.136077,0.00220046,0.394469,-0.000244233,-0.00138059,-0.280715,4.91362e-05,-0.000190812,-0.00433443,-7.70281e-06,-6.94298e-06,-2.01879e-05
1527750802797321165,-0.136082,0.00220028,0.394495,-0.000939218,-0.00222497,-0.679238,2.55228e-05,-0.000262877,-0.0235419,-7.70281e-06,-6.94298e-06,-2.01879e-05
1527750802830645846,-0.136092,0.00219979,0.394502,-0.00148642,-0.00290508,-0.998264,-1.34029e-05,-0.00034506,-0.0504113,-7.70281e-06,-6.94298e-06,-2.01879e-05
1527750802863977600,-0.136097,0.00219949,0.394496,-0.00196636,-0.00350243,-1.27678,-6.17131e-05,-0.000434623,-0.0822232,-7.70281e-06,-6.94298e-06,-2.01879e-05
1527750802897312124,-0.136081,0.00219952,0.394503,-0.00265894,-0.00435306,-1.67475,-0.000154156,-0.000591514,-0.141197,-7.70281e-06,-6.94298e-06,-2.01879e-05
1527750802930644534,-0.136094,0.00219943,0.394491,-0.00320694,-0.00502447,-1.99335,-0.000247992,-0.000741608,-0.199872,-7.70281e-06,-6.94298e-06,-2.01879e-05
1527750802963976880,-0.1361,0.00219929,0.394454,-0.00368116,-0.0056235,-2.27226,-0.000344459,-0.000890702,-0.259603,-7.70281e-06,-6.94298e-06,-2.01879e-05
1527750802997310901,-0.136088,0.00219882,0.394463,-0.00436576,-0.00645624,-2.66809,-0.000504342,-0.00113075,-0.357785,-7.70281e-06,-6.94298e-06,-2.01879e-05
1527750803030643534,-0.136099,0.00219903,0.394426,-0.00492811,-0.00715023,-2.99427,-0.000656579,-0.00135363,-0.450515,-7.70281e-06,-6.94298e-06,-2.01879e-05
1527750803063977325,-0.136103,0.00219915,0.394407,-0.0055675,-0.00794186,-3.36145,-0.000850034,-0.00163189,-0.56768,-7.70281e-06,-6.94298e-06,-2.01879e-05
1527750803097311661,-0.136093,0.00219876,0.394402,-0.00612743,-0.00863557,-3.68478,-0.00103983,-0.00190099,-0.682067,-7.70281e-06,-6.94298e-06,-2.01879e-05
