timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527736626808035556,-0.0498389,0.000387887,0.205981,0.00424738,-0.00138691,0.0353092,-0.00044607,0.000146189,0.000494654,-1.36438e-05,-1.06444e-05,-1.55447e-05
1527736626846241544,-0.0498384,0.000388193,0.205977,0.00417243,-0.00143,0.221673,-0.000361697,0.000117922,0.00307075,-1.36438e-05,-1.06444e-05,-1.55447e-05
1527736626870046790,-0.0498232,0.000388125,0.205959,0.00412712,-0.00147976,0.33322,-0.0003119,0.000100464,0.00640011,-1.36438e-05,-1.06444e-05,-1.55447e-05
1527736626903266706,-0.0498136,0.000389572,0.205923,0.00403135,-0.0015258,0.593679,-0.00019738,5.8275e-05,0.0193874,-1.36438e-05,-1.06444e-05,-1.55447e-05
1527736626936631811,-0.0498062,0.000390973,0.205912,0.00388737,-0.00157766,0.97284,-3.59468e-05,-5.03854e-06,0.0513395,-1.36438e-05,-1.06444e-05,-1.55447e-05
1527736626969932764,-0.0498149,0.000392806,0.205903,0.00369858,-0.00168619,1.3445,0.000115877,-7.00303e-05,0.0976683,-1.36438e-05,-1.06444e-05,-1.55447e-05
1527736627003265966,-0.0497932,0.000392143,0.205905,0.0035592,-0.00174379,1.60506,0.000217577,-0.000118188,0.139015,-1.36438e-05,-1.06444e-05,-1.55447e-05
1527736627036599824,-0.0497798,0.000392837,0.205908,0.0034491,-0.00181771,1.90238,0.000329689,-0.000175293,0.195113,-1.36438e-05,-1.06444e-05,-1.55447e-05
1527736627070266641,-0.0497811,0.000392942,0.205917,0.00327917,-0.00189753,2.27119,0.000463177,-0.000248856,0.277917,-1.36438e-05,-1.06444e-05,-1.55447e-05
1527736627103266790,-0.0497864,0.000393635,0.205908,0.0031671,-0.00195792,2.53877,0.000555902,-0.000304224,0.347152,-1.36438e-05,-1.06444e-05,-1.55447e-05
1527736627136601410,-0.0497853,0.000394974,0.205871,0.0030147,-0.00206522,2.91055,0.000679408,-0.000384913,0.456138,-1.36438e-05,-1.06444e-05,-1.55447e-05
