timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1453415943086794604,0.0140008,-0.0176382,1.0659,-0.11316,0.0835867,0.0355784,-8.15638e-08,0.00318472,0.00464555,0.000105268,1.95103e-05,-0.000187482
1453415943112516798,-0.00346353,-0.00583638,1.07904,-0.288693,0.19799,0.011758,-0.00203542,-0.00110983,0.0076454,0.000105268,1.95103e-05,-0.000187482
1453415943138012777,0.203405,-0.001874,1.10974,-1.16619,0.703781,-0.327337,-0.0213696,0.00149504,0.0158738,0.000105268,1.95103e-05,-0.000187482
1453415943163983801,0.386917,0.0892217,1.53049,-2.58658,1.34664,-0.260827,-0.057522,0.0588091,-0.00902289,0.000105268,1.95103e-05,-0.000187482
1453415943184399337,-0.0159349,0.24416,1.98316,-3.95913,0.87582,0.0248585,-0.205318,2.38461,-1.67165,0.000105268,1.95103e-05,-0.000187482
1453415943209816040,3.02252,nan,0.58653,-3.53676e+29,3.09591e+29,-4.74919e+29,-3.44671e+22,7.69365e+14,-1.08602e+15,0.000105268,1.95103e-05,-0.000187482
1453415943235334787,3.02315,nan,0.585912,-2.92673e+35,-3.12063e+34,-6.64258e+35,-3.21984e+33,-3.45351e+32,-7.30656e+33,0.000105268,1.95103e-05,-0.000187482
1453415943260754983,0.00962798,nan,-1.01589,-7.31011e+35,-7.48975e+34,-1.66108e+36,-1.81375e+34,-1.89651e+33,-4.11894e+34,0.000105268,1.95103e-05,-0.000187482
1453415943286204169,0.010862,nan,-1.01725,-2.30263e+50,-2.95057e+49,6.46255e+50,-3.22289e+48,-4.10252e+47,9.04798e+48,0.000105268,1.95103e-05,-0.000187482
1453415943311668386,-3.07647,nan,-2.33937,-3.6136e+50,1.66217e+50,1.06718e+51,-9.03318e+48,7.58427e+47,2.58348e+49,0.000105268,1.95103e-05,-0.000187482
1453415943337142136,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943413827066,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943439781947,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943460177836,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943485668326,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943511123554,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943536603156,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943562436366,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943587900054,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943613364422,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943638812459,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943664429286,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943684851379,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943710303351,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1453415943735796238,-nan,nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
