timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527750450553897615,-0.183483,0.00351549,0.38338,0.00148596,-0.00069571,-0.28201,0.000568153,6.13811e-05,-0.00465666,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450587230242,-0.183416,0.00351612,0.383676,0.000442197,-0.00209529,-0.680806,0.000606739,5.51328e-06,-0.023913,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450620569689,-0.183363,0.00351687,0.383906,-0.000380014,-0.00321119,-0.998289,0.000607689,-7.89858e-05,-0.0506472,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450653896803,-0.183334,0.00351723,0.384116,-0.00120553,-0.0043253,-1.31732,0.000582355,-0.000199666,-0.0876969,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450687189219,-0.18329,0.00351738,0.384307,-0.0019276,-0.00528758,-1.59648,0.000538544,-0.000334308,-0.12849,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450720563748,-0.183232,0.00351784,0.384611,-0.00295301,-0.00663723,-1.9909,0.000441902,-0.00057014,-0.199448,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450753898074,-0.183167,0.00351824,0.384865,-0.00378872,-0.00772489,-2.31042,0.000333883,-0.000800271,-0.268375,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450787231379,-0.183042,0.00351934,0.385492,-0.0061128,-0.0107487,-3.19421,-0.000105215,-0.00161861,-0.51235,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450854479341,-0.183018,0.00351974,0.385584,-0.00642804,-0.0111718,-3.31385,-0.00018046,-0.00175013,-0.551398,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450887869381,-0.182971,0.00352004,0.385731,-0.00694101,-0.0118693,-3.51334,-0.000314227,-0.00198066,-0.619704,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450921225029,-0.182801,0.00352142,0.386431,-0.00938206,-0.0151744,-4.45705,-0.00108629,-0.00326156,-0.996919,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750450968336917,-0.182772,0.00352174,0.386561,-0.00990302,-0.0158578,-4.65645,-0.00127918,-0.00357187,-1.08805,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451002935039,-0.182745,0.00352206,0.386667,-0.0102178,-0.0162724,-4.7762,-0.00140001,-0.00376483,-1.1447,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451021214753,-0.182738,0.00352207,0.386731,-0.0104664,-0.0165894,-4.8694,-0.00149669,-0.00391842,-1.18978,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451054536446,-0.182699,0.0035226,0.386888,-0.0109938,-0.0172667,-5.0688,-0.00171128,-0.00425698,-1.28917,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451087871331,-0.18264,0.00352335,0.38713,-0.0118316,-0.018356,-5.38806,-0.00207683,-0.00482736,-1.45659,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451121204540,-0.182573,0.00352402,0.387441,-0.0128866,-0.0197354,-5.79128,-0.00257661,-0.00559753,-1.68266,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451154539149,-0.182526,0.00352456,0.387627,-0.0136157,-0.0206968,-6.07024,-0.00294735,-0.00616321,-1.8486,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451187882867,-0.182496,0.00352539,0.387848,-0.0144429,-0.0218109,-6.38928,-0.00339634,-0.00684319,-2.04795,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451221202027,-0.182428,0.00352628,0.388164,-0.0154799,-0.0232088,-6.78807,-0.00399477,-0.00774356,-2.31149,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451254538247,-0.182354,0.00352709,0.388392,-0.016197,-0.0241922,-7.06894,-0.00444095,-0.00841124,-2.50668,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451287869257,-0.1823,0.0035278,0.388659,-0.0170255,-0.0252922,-7.38792,-0.00497244,-0.0092029,-2.73796,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451321205539,-0.182229,0.00352875,0.388965,-0.018061,-0.0266632,-7.78672,-0.00567418,-0.0102421,-3.04145,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451354558035,-0.182177,0.0035296,0.389196,-0.0188139,-0.0276493,-8.07466,-0.00620667,-0.0110263,-3.27049,-8.38736e-06,-8.09289e-06,-1.95341e-05
1527750451387869677,-0.182107,0.00352995,0.389444,-0.0196391,-0.0287613,-8.39359,-0.00682171,-0.0119286,-3.53389,-8.38736e-06,-8.09289e-06,-1.95341e-05
