timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527752938468885984,3.11402,-0.0211098,-2.11284,-0.181536,0.126938,-0.0407966,-0.0495967,0.0344461,-0.011067,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938502216467,-3.01586,0.246263,-2.10427,-0.0157383,0.173946,-0.0163308,-0.0505313,0.0371833,-0.0110466,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938535547312,-3.01579,0.246254,-2.10428,0.00655566,0.184162,-0.0118844,-0.050568,0.0386157,-0.0111595,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938568866139,-3.01558,0.246225,-2.10428,0.0934093,0.226602,0.00512847,-0.0489701,0.0451877,-0.0112676,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938602198029,-3.01535,0.246175,-2.1043,0.170176,0.26325,0.0202678,-0.0452809,0.0520442,-0.0109141,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938635561645,-3.01508,0.246108,-2.1043,0.281588,0.317301,0.0424915,-0.0360415,0.0639348,-0.00963384,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938668864624,-3.01486,0.24606,-2.10432,0.368466,0.358954,0.0596565,-0.0256384,0.0747531,-0.00800311,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938702198300,-3.01466,0.245993,-2.10433,0.445073,0.395498,0.0749455,-0.0142514,0.0853156,-0.00611474,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938735563619,-3.01443,0.245959,-2.10436,0.533203,0.438087,0.0925619,0.00161521,0.0988337,-0.00340075,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938768867623,-3.01414,0.245892,-2.10433,0.644317,0.491651,0.114538,0.0256262,0.117778,0.000824145,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938802218090,-3.01335,0.245773,-2.10444,0.941089,0.631135,0.171839,0.110974,0.178259,0.0162415,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938885679380,-3.01313,0.245728,-2.10445,1.02918,0.67334,0.189338,0.142744,0.199301,0.0220648,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938902169563,-3.01306,0.245704,-2.10444,1.0511,0.683481,0.193674,0.151065,0.204729,0.0235968,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938935535586,-3.01299,0.245693,-2.10443,1.08359,0.699314,0.200151,0.163874,0.213025,0.0259598,-1.05749e-05,1.99845e-05,3.08507e-05
1527752938968866492,-3.01278,0.245652,-2.10448,1.16072,0.735117,0.215486,0.195292,0.233108,0.0317811,-1.05749e-05,1.99845e-05,3.08507e-05
1527752939002197016,-3.01249,0.245603,-2.10451,1.27119,0.787,0.237671,0.243964,0.263584,0.0408542,-1.05749e-05,1.99845e-05,3.08507e-05
