timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527857796804273168,-0.046839,0.00475676,2.08577,0.534974,-0.645148,0.0759576,0.159909,-0.192808,0.0227382,0,0,0
1527857796837568170,-0.0468461,0.00477578,2.08562,0.534935,-0.646288,0.0763689,0.183469,-0.22124,0.0260874,0,0,0
1527857796870908350,-0.0468397,0.00478351,2.0858,0.534862,-0.646711,0.0762229,0.198436,-0.239325,0.0282205,0,0,0
1527857796904268408,-0.0468148,0.00481057,2.08553,0.534572,-0.647197,0.0760756,0.21556,-0.260048,0.0306595,0,0,0
1527857796937567788,0.971507,-0.0420773,-0.41187,0.0173521,-0.00403511,0.0116936,0.206484,-0.238649,0.0278271,0,0,0
1527857796970914985,0.551683,-0.351762,1.15908,0.151392,0.23516,0.160599,0.209187,-0.234953,0.0305796,0,0,0
1527857797004270788,2.13589,-0.138034,-0.703933,0.0825963,0.474761,0.305875,0.212466,-0.22501,0.037109,0,0,0
1527857797037568517,2.1363,-0.334048,2.08544,0.239482,0.769315,0.917977,0.218884,-0.200169,0.0615388,0,0,0
1527857797070904146,2.1366,-0.333963,2.08661,0.0404741,0.591078,1.40701,0.223368,-0.178403,0.0987391,0,0,0
1527857797104234869,2.1369,-0.333896,2.08405,-0.139406,0.430169,1.84764,0.221944,-0.163699,0.145604,0,0,0
1527857797137640972,2.1373,-0.333842,2.08403,-0.386379,0.21001,2.45243,0.211571,-0.151067,0.230446,0,0,0
1527857797170901643,2.13759,-0.333761,2.08652,-0.58647,0.0317071,2.94233,0.196012,-0.147197,0.316763,0,0,0
1527857797204234291,2.13788,-0.33367,2.08517,-0.760986,-0.12425,3.37152,0.177145,-0.14849,0.405157,0,0,0
1527857797237569803,2.13828,-0.333596,2.08679,-1.01074,-0.347818,3.98638,0.141644,-0.157944,0.552611,0,0,0
1527857797270902480,2.13859,-0.333511,2.08843,-1.20949,-0.526242,4.47678,0.106075,-0.171946,0.688187,0,0,0
1527857797304235686,2.13886,-0.333454,2.0882,-1.38329,-0.683055,4.90588,0.0698014,-0.188866,0.819458,0,0,0
1527857797337571008,2.13926,-0.333346,2.08886,-1.63193,-0.906953,5.5191,0.00946135,-0.220686,1.02809,0,0,0
1527857797370902432,2.13957,-0.333292,2.09018,-1.81144,-1.06827,5.96001,-0.0400508,-0.249088,1.19315,0,0,0
1527857797404234268,2.13995,-0.333198,2.09107,-2.05911,-1.29214,6.57318,-0.117457,-0.296292,1.4438,0,0,0
1527857797437567088,2.14015,-0.333157,2.08964,-2.18333,-1.4049,6.88066,-0.159952,-0.323307,1.57856,0,0,0
1527857797470904495,2.14054,-0.333058,2.09097,-2.43134,-1.62967,7.49492,-0.252238,-0.383996,1.86606,0,0,0
1527857797504238180,2.14086,-0.332977,2.09002,-2.62869,-1.8089,7.98583,-0.333263,-0.43906,2.11394,0,0,0
