timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1527752773635533720,3.10579,-0.0211304,-2.12103,-0.200749,0.141239,-0.0430484,-0.0502782,0.0353616,-0.0107133,-1.02246e-05,2.01118e-05,3.11217e-05
1527752773668871862,-3.01047,0.271634,-2.10983,-0.0159405,0.196758,-0.0175661,-0.0528611,0.0396075,-0.0110324,-1.02246e-05,2.01118e-05,3.11217e-05
1527752773702199517,-3.01017,0.271579,-2.10987,0.101624,0.256854,0.00810342,-0.0511248,0.0488676,-0.0112288,-1.02246e-05,2.01118e-05,3.11217e-05
1527752773735532631,-3.00992,0.271549,-2.10987,0.194773,0.303145,0.0277496,-0.0463921,0.0578034,-0.0106561,-1.02246e-05,2.01118e-05,3.11217e-05
1527752773768869836,-3.00967,0.271515,-2.10987,0.277102,0.343678,0.0452292,-0.039784,0.0668595,-0.00963261,-1.02246e-05,2.01118e-05,3.11217e-05
1527752773802201113,-3.00933,0.271454,-2.10987,0.393563,0.401547,0.070095,-0.0263786,0.0817698,-0.00733103,-1.02246e-05,2.01118e-05,3.11217e-05
1527752773835533485,-3.00912,0.27141,-2.10989,0.486858,0.449095,0.0897577,-0.0122693,0.0953949,-0.00476928,-1.02246e-05,2.01118e-05,3.11217e-05
1527752773868884810,-3.00822,0.271204,-2.10993,0.805429,0.608853,0.157481,0.0584395,0.153271,0.00877353,-1.02246e-05,2.01118e-05,3.11217e-05
1527752773945787211,-3.00808,0.27118,-2.10996,0.863846,0.638013,0.170046,0.0751573,0.16577,0.0120508,-1.02246e-05,2.01118e-05,3.11217e-05
1527752773968869648,-3.008,0.271157,-2.10997,0.898852,0.655616,0.177261,0.0857415,0.173538,0.0141362,-1.02246e-05,2.01118e-05,3.11217e-05
1527752774002198928,-3.00776,0.271102,-2.10996,0.98064,0.695479,0.194389,0.11201,0.192422,0.0193325,-1.02246e-05,2.01118e-05,3.11217e-05
1527752774035622128,-3.00752,0.271076,-2.10994,1.06171,0.736359,0.211348,0.140518,0.212417,0.0249963,-1.02246e-05,2.01118e-05,3.11217e-05
1527752774068867937,-3.00727,0.271021,-2.10999,1.15513,0.78304,0.231146,0.175989,0.236733,0.0320794,-1.02246e-05,2.01118e-05,3.11217e-05
